part,company,country,city,price,date
54868-5165,Chatterbridge,Spain,Barcelona,784.79€,2016-01-02 00:01:05
60505-2867,Lajo,Greece,Thessaloniki,187.99€,2016-01-02 00:05:26
24385-268,Flipstorm,Greece,Athens,221.73€,2016-01-02 00:18:30
76117-001,Twitterbeat,France,Annecy,1075.82€,2016-01-02 02:32:30
44946-1046,Chatterbridge,Spain,Barcelona,412.55€,2016-01-02 04:51:55
16729-167,Chatterbridge,Spain,Barcelona,359.52€,2016-01-02 07:20:59
52125-444,Voomm,France,Paris,266.62€,2016-01-02 07:40:37
43419-018,Buzzbean,Germany,Düsseldorf,103.45€,2016-01-02 08:57:57
54092-515,Zooxo,United Kingdom,London,£704.94,2016-01-02 09:09:01
24286-1562,Lajo,Greece,Thessaloniki,317.65€,2016-01-02 11:01:32
49035-530,Flipstorm,Greece,Athens,841.97€,2016-01-02 12:51:30
36987-1697,Brainsphere,Portugal,Braga,830.75€,2016-01-02 13:16:45
44946-1046,Flipstorm,France,Nanterre,406.4€,2016-01-02 16:34:14
51346-145,Flipstorm,Greece,Athens,978.51€,2016-01-02 17:45:54
51138-049,Flipstorm,France,Nanterre,504.69€,2016-01-02 17:46:50
0268-6107,Thoughtmix,Portugal,Amadora	,477.71€,2016-01-02 18:52:45
51523-002,Flipstorm,Greece,Athens,1041.56€,2016-01-02 20:28:56
62670-4404,Wordify,United States,New York,$444.15,2016-01-02 21:10:19
49288-0285,Brainsphere,Portugal,Braga,598.52€,2016-01-02 22:18:14
68233-011,Chatterbridge,Spain,Barcelona,304.59€,2016-01-03 00:19:44
49349-471,Voomm,France,Paris,842.93€,2016-01-03 00:40:03
67544-356,Zooxo,United Kingdom,London,£602.37,2016-01-03 00:49:00
55700-014,Flipstorm,Greece,Athens,687.46€,2016-01-03 02:33:24
98132-889,Buzzbean,Germany,Düsseldorf,272.06€,2016-01-03 06:16:54
17156-617,Flipstorm,Greece,Athens,1148.38€,2016-01-03 07:35:36
49348-574,Flipstorm,Greece,Athens,367.48€,2016-01-03 08:58:12
76454-100,Teklist,Netherlands,Arnhem,166.29€,2016-01-03 09:35:27
76117-001,Thoughtmix,Portugal,Amadora	,1146.85€,2016-01-03 10:48:11
54868-5165,Teklist,Netherlands,Arnhem,980.37€,2016-01-03 10:48:12
67544-356,Flipstorm,France,Nanterre,680.67€,2016-01-03 11:41:15
70253-307,Avaveo,France,Nice,1029.92€,2016-01-03 11:53:31
62756-707,Ntags,Portugal,Lisbon,322.45€,2016-01-03 13:12:09
0268-1604,Innojam,Netherlands,Amsterdam,157.22€,2016-01-03 13:48:28
41163-428,Thoughtmix,Portugal,Amadora	,120.64€,2016-01-03 16:16:24
62011-0219,Flipstorm,Greece,Athens,759.9€,2016-01-03 17:55:17
54868-0823,Thoughtmix,Portugal,Amadora	,163.6€,2016-01-03 19:48:44
68462-565,Flipstorm,France,Nanterre,857.94€,2016-01-03 20:19:49
61398-0828,Flipstorm,Greece,Athens,508.48€,2016-01-03 22:11:05
52343-025,Shufflebeat,Portugal,Porto,843.78€,2016-01-03 22:12:57
54473-578,Zoonder,United States,Boston,$199.56,2016-01-03 22:21:29
51079-947,Zoonder,United States,Boston,$637.13,2016-01-03 22:43:31
37205-992,Shufflebeat,Portugal,Porto,552.41€,2016-01-03 23:41:02
51079-947,Flipstorm,France,Nanterre,620.92€,2016-01-04 00:04:00
49349-471,Flipstorm,Greece,Athens,766.23€,2016-01-04 00:32:01
16714-295,Brainsphere,Portugal,Braga,712.31€,2016-01-04 01:07:00
54868-0823,Flipstorm,Greece,Athens,183.81€,2016-01-04 01:15:56
16729-167,Voomm,France,Paris,458.77€,2016-01-04 01:46:04
68462-565,Shufflebeat,Portugal,Porto,778.08€,2016-01-04 04:39:44
49349-842,Ntags,Portugal,Lisbon,269.46€,2016-01-04 05:19:44
